type,category,item_id,item_name_en,item_description_en,item_name_fr,item_description_fr
non_player_characters,Character Profiles,Npc_MercenarySoldier_Hylia003A,Yutas,,Eutas,
non_player_characters,Character Profiles,TwnObj_Village_InvestigatorDiary_A_01,ZST: Three Big Ideas,,Règles des archéologues,
non_player_characters,Character Profiles,Dm_Npc_Zelda_Search_Improve,Zelda,,Zelda,
non_player_characters,Character Profiles,TwnObj_HatenoVillage_ZeldaDiary_A_03,Zelda's Diary,,Journal de Zelda,
non_player_characters,Character Profiles,TwnObj_HatenoVillage_ZeldaDiary_A_01,Zelda's Journal,,Journal de Zelda,
non_player_characters,Character Profiles,UnknownNPC_Zelda,Zelda's Voice,,Voix de Zelda,
non_player_characters,Character Profiles,UnknownNPC_Mineru,Zonai Relic,,Vestige soneau,
non_player_characters,Character Profiles,Npc_Kokiri010,Zooki,,Glanis,
non_player_characters,Character Profiles,Npc_Road_006,Zorona,,Mahety,
non_player_characters,Character Profiles,Npc_HyruleWestHatago001,Zumi,,Paturi,
non_player_characters,Character Profiles,Npc_SouthernVillage009,Zuta,,Edera,
non_player_characters,Character Profiles,Npc_HorseBuyer,Zyle,,Zucchi,
towers,Skyview Tower,Tower01,Lookout Landing Skyview Tower,,Tour du fort de guet,
towers,Skyview Tower,Tower02,Lindor's Brow Skyview Tower,,Tour du mont Labulat,
towers,Skyview Tower,Tower03,Pikida Stonegrove Skyview Tower,,Tour de la prairie d'Urban,
towers,Skyview Tower,Tower04,Eldin Canyon Skyview Tower,,Tour du ravin d'Ordinn,
towers,Skyview Tower,Tower05,Ulri Mountain Skyview Tower,,Tour du mont Ramol,
towers,Skyview Tower,Tower06,Sahasra Slope Skyview Tower,,Tour de la plaine de Sahasla,
towers,Skyview Tower,Tower07,Upland Zorana Skyview Tower,,Tour du plateau Zoran,
towers,Skyview Tower,Tower08,Hyrule Field Skyview Tower,,Tour de la plaine d'Hyrule,
towers,Skyview Tower,Tower09,Gerudo Canyon Skyview Tower,,Tour du canyon Gerudo,
towers,Skyview Tower,Tower10,Gerudo Highlands Skyview Tower,,Tour des hauteurs Gerudos,
towers,Skyview Tower,Tower11,Rabella Wetlands Skyview Tower,,Tour de Rabelle,
towers,Skyview Tower,Tower12,Thyphlo Ruins Skyview Tower,,Tour des ruines des Obscurcies,
towers,Skyview Tower,Tower13,Popla Foothills Skyview Tower,,Tour des Peuliers,
towers,Skyview Tower,Tower14,Mount Lanayru Skyview Tower,,Tour de la montagne de Lanelle,
towers,Skyview Tower,Tower15,Rospro Pass Skyview Tower,,Tour du col de Térel,
armors,Armor,Armor_001_Head,Hylian Hood,A hood woven using traditional Hyrulean methods. It's made from a sturdy material to protect travelers from the harsh sun and weather.,Capuche hylienne,"Fabriquée dans un tissu robuste et selon des techniques hyruliennes traditionnelles, cette capuche est prisée des voyageurs qu'elle protège de la pluie, du vent et du soleil."
armors,Armor,Armor_001_Lower,Hylian Trousers,"Traditional dress trousers of Hyrule. The plush fabric makes these trousers quite comfortable, and their high durability makes them ideal for travelers.",Pantalon hylien,Ce pantalon très répandu est confectionné à partir d'un tissu léger et robuste qui le rend très confortable. Il est particulièrement apprécié des voyageurs.
armors,Armor,Armor_001_Upper,Hylian Tunic,"A common garb that achieved widespread popularity in Hyrule, particularly among travelers. Its light-yet-sturdy fabric doesn't limit movement.",Tunique hylienne,Cette tenue très répandue est confectionnée à partir d'un tissu léger et robuste qui la rend très confortable. Elle est particulièrement appréciée des voyageurs.
armors,Armor,Armor_005_Head,Cap of the Wild,"According to legend, this cap was crafted for a hero who travels the wild lands. Wearing it just feels so right.",Coiffe des landes,"On dit que ce bonnet aurait été confectionné spécialement pour le Héros qui voyage à travers les landes sauvages. Très agréable à porter, elle vous va parfaitement."
armors,Armor,Armor_005_Lower,Trousers of the Wild,"Legends say these pants were tailored for a hero who travels the wilderness. Strangely enough, they're the most comfortable pair of pants you've ever worn.",Culotte des landes,On dit que cet habit aurait été confectionné spécialement pour le Héros qui voyage à travers les landes sauvages. Vous vous y sentez incroyablement à l'aise.
armors,Armor,Armor_005_Upper,Tunic of the Wild,"This armor was apparently crafted for a hero who travels the wilds. Strangely enough, it's just your size.",Tunique des landes,Cette tunique aurait été confectionnée spécialement pour le Héros qui voyage à travers les landes sauvages. Elle vous va comme un gant.
armors,Armor,Armor_006_Head,Zora Helm,Zora headgear made from dragon scales. Increases swimming speed and allows you to spin to attack while swimming.,Casque zora,On dit que ce casque transmis de génération en génération chez les Zoras serait fait en écailles de dragon. Il permet de nager plus vite et d'utiliser l'attaque tornade dans l'eau.
armors,Armor,Armor_006_Lower,Zora Greaves,These greaves have been passed down among the Zora for generations. It's been said they're crafted using dragon scales. Equip them to swim faster.,Jambières zoras,On dit que ces jambières transmises chez les Zoras de génération en génération seraient faites en écailles de dragon et permettraient de nager plus vite.
armors,Armor,Armor_006_Upper,Zora Armor,Armor crafted by a past Zora princess for her future husband. Wearing it would allow even a Hylian to swim up waterfalls.,Armure zora,Cette armure réalisée par la regrettée princesse zora pour l'élu de son cœur permet de remonter les cascades.
armors,Armor,Armor_008_Head,Desert Voe Headband,"Gerudo armor for males. Contains sapphire, which harnesses the power of ice to make the heat more bearable.",Parure des sablons,Le bandeau de cette parure pour homme plutôt rare dans les contrées Gerudos est orné d'un saphir renfermant un pouvoir de glace qui aide à supporter la chaleur.
armors,Armor,Armor_008_Lower,Desert Voe Trousers,"Gerudo-made trousers for males sold rarely by Gerudo retailers. Sapphire is used in their creation, which harnesses the power of ice to make the heat more tolerable.",Pantalon des sablons,Les saphirs qui garnissent ce pantalon pour homme vendu au Club Secret Gerudo abritent un pouvoir de glace qui aide à supporter la chaleur.
armors,Armor,Armor_008_Upper,Desert Voe Spaulder,"Armor for males sold rarely by Gerudo retailers. It contains sapphire, which harnesses the power of ice to make hot climates more tolerable.",Épaulière des sablons,Les saphirs qui garnissent cette armure pour homme vendue au Club Secret Gerudo abritent un pouvoir de glace qui aide à supporter la chaleur.
armors,Armor,Armor_009_Head,Snowquill Headdress,"A Rito accessory made from snow-bird feathers. It's adorned with a ruby, a gem that harnesses the power of fire to make cold climates more tolerable.",Bijou à plumes,"Ce bijou piaf, surmonté d'une plume d'oiseau des neiges et d'un rubis qui abrite le pouvoir du feu, aide à résister au froid."
armors,Armor,Armor_009_Lower,Snowquill Trousers,"The Rito sell these trousers to Hylians in Rito Village. The inside is lined with Rito feathers, so they excel at retaining body heat.",Pantalon duveteux piaf,Ce pantalon fourré de premières plumes piafs constitue une excellente protection contre le froid. Les Piafs en vendent dans leur village pour les Hyliens.
armors,Armor,Armor_009_Upper,Snowquill Tunic,"Lined with molted Rito feathers, this tunic was made by Rito artisans for Hylians visiting cold climates. The feathers are stacked in each layer to retain body heat.",Tunique duveteuse piaf,"Confectionné pour les Hyliens voyageant en Tabanta ou en Hébra, ce vêtement recouvert de plusieurs premières plumes piafs constitue une protection idéale contre le froid."
armors,Armor,Armor_011_Head,Flamebreaker Helm,"Stone headgear made by Goron craftsmen to protect tourists visiting Goron City. As if its flame resistance isn't enough of a selling point, it also covers your entire head!",Casque de pierre,"Fabriqué par les artisans gorons pour les touristes qui visitent leur village, ce casque en pierre recouvre entièrement la tête. Une protection radicale contre le feu."
armors,Armor,Armor_011_Lower,Flamebreaker Boots,Goron artisans used flame-resistant rocks to craft these fireproof boots for curious Hylians visiting Goron City.,Bottes de pierre,"Fabriquées par les artisans gorons pour les Hyliens qui visitent leur village, ces bottes composées de pierre et autres matériaux ininflammables protègent du feu."
armors,Armor,Armor_011_Upper,Flamebreaker Armor,Armor crafted by Gorons for Hylians curious enough to visit Goron City. It's made from fire-resistant rocks to protect the wearer.,Armure de pierre,"Cette armure, fabriquée par les Gorons pour les excentriques qui voyagent jusqu'à leur village, est confectionnée à partir de pierres et donc résistante au feu."
armors,Armor,Armor_012_Head,Stealth Mask,"It may look like a regular cloth mask, but it was made using Sheikah crafting techniques to suppress the noisy rustling of clothes. Perfect for sneaking about.",Masque furtif,"Si ce masque semble tout à fait ordinaire, les Sheikahs l'ont en réalité confectionné spécialement pour étouffer tout bruit de tissu froissé. Idéal pour passer inaperçu."
armors,Armor,Armor_012_Lower,Stealth Tights,"Members of the Sheikah tribe wear these tights when they need to move stealthily. They're made from noise-suppressing cloth, a hallmark of ancient Sheikah technology.",Chausses furtives,Ces chausses étouffant tout bruit de tissu froissé et dont les Sheikahs se servent couramment dans leurs missions d'infiltration sont le fruit de technologies antiques.
armors,Armor,Armor_012_Upper,Stealth Chest Guard,"Armor designed for stealth, passed down through the Sheikah tribe. The special fabrics suppress the rustling of clothes even when moving quickly.",Combinaison furtive,"Cet habit transmis au sein du clan des Sheikahs a été confectionné à partir de matériaux étouffant les sons, permettant ainsi des mouvements vifs et discrets."
armors,Armor,Armor_014_Head,Climber's Bandanna,"It may look like a regular bandanna, but it's actually infused with ancient technology that enhances core strength to improve your climbing ability.",Bandana d'escalade,"Ce qui semble être un simple bandana est en réalité le fruit de technologies antiques, un accessoire d'escalade aidant à garder l'équilibre et à grimper plus facilement."
armors,Armor,Armor_014_Lower,Climbing Boots,These rock-climbing boots have special no-slip toes that help you cling to walls. This ancient technology facilitates more nimble climbing.,Souliers d'escalade,"Conçus d'après des technologies antiques dans un matériau qui facilite l'ascension des falaises, ces souliers permettent de moins glisser et de mieux assurer ses prises."
armors,Armor,Armor_014_Upper,Climbing Gear,The ancient technology in this gear will make you a better climber. The special no-slip glove helps you use your energy more efficiently to facilitate nimble climbing.,Gant d'escalade,"Conçu d'après des technologies antiques pour faciliter l'ascension des falaises, ce gant permet de moins glisser et de mieux assurer ses prises."
armors,Armor,Armor_017_Head,Radiant Mask,"A mask painted with dye made from crushed luminous stones. Its bone-like patterns give off a lurid, mysterious glow in the dark.",Masque nox,Ce masque coloré à la poudre de gemme nox présente un curieux motif de crâne stylisé. Il brille d'une étrange lueur dans l'obscurité.
armors,Armor,Armor_017_Lower,Radiant Tights,The paint on these tights is made from crushed luminous stones. It causes the tights to show a glowing bone-like pattern in the dark.,Chausses nox,Cet article coloré à la poudre de gemme nox arbore un motif de squelette visible uniquement dans l'obscurité.
armors,Armor,Armor_017_Upper,Radiant Shirt,The paint on this shirt is made from crushed luminous stones. It causes the shirt to show a glowing bone-like pattern in the dark.,Combinaison nox,Cette combinaison colorée à la poudre de gemme nox arbore un motif de squelette visible uniquement dans l'obscurité.
armors,Armor,Armor_020_Head,Soldier's Helm,"Headgear made from sturdy metals for frontline soldiers. Praised for their defensive capabilities, the only helms that remain are those that survived the Calamity.",Casque de soldat,Ce casque a été forgé dans un métal solide pour protéger les soldats au front. Rares sont les exemplaires qui ont résisté au passage du Grand Fléau.
armors,Armor,Armor_020_Lower,Soldier's Greaves,"Hyrulean guards favored these greaves. They owe their distinctly high defense to the metal plates they're made from, but the added weight takes some getting used to.",Jambières de soldat,"Forgées dans un métal solide qui leur donne un haut pouvoir de protection, ces jambières de soldat hylien sont si lourdes qu'il faut une certaine habitude pour courir avec."
armors,Armor,Armor_020_Upper,Soldier's Armor,"Hyrulean guards praised this armor for its superior defense. Made from sturdy plates of metal, the high level of craftsmanship that went into it is obvious with just a glance.",Armure de soldat,Les plaques de métal qui composent cette armure de soldat hylien offrent une solide protection qui témoigne du talent de l'artisan qui l'a forgée.
armors,Armor,Armor_022_Head,Bokoblin Mask,"Kilton's handmade Bokoblin headgear. It's almost charming in a cute, monstrous kind of way... Equip it to blend in with Bokoblins.",Masque de Bokoblin,"L'expression de ce masque confectionné par Kilton ne manque pas de charme. Si vous le portez, les Bokoblins vous prendront très certainement pour un des leurs."
armors,Armor,Armor_024_Head,Diamond Circlet,"A luxurious headpiece sold at Gerudo jewelry shops. It's decorated with a diamond, which harnesses the power of light to increase attack power.",Diadème diamant,"Abritant le pouvoir de la lumière, le diamant qui décore ce somptueux bijou de tête gerudo augmente votre puissance d'attaque."
armors,Armor,Armor_025_Head,Ruby Circlet,"A headpiece made by Gerudo craft workers. It's set with a ruby, a gem that harnesses the power of fire to make cold climates more bearable.",Diadème rubis,"Habité par le pouvoir du feu, le rubis qui surmonte ce bijou traditionnel fabriqué par les joaillières gerudos aide à supporter le froid."
armors,Armor,Armor_026_Head,Sapphire Circlet,"An intricate headpiece crafted with Gerudo goldsmith techniques. It's set with a sapphire, a gem that harnesses the power of ice to make hot climates more tolerable.",Diadème saphir,Le saphir qui décore ce bijou ciselé avec soin par une Gerudo renfermerait un pouvoir de glace qui aide à supporter la chaleur.
armors,Armor,Armor_027_Head,Topaz Earrings,"Earrings made by Gerudo craft workers. They're made with topaz, a gem that harnesses the power of lightning to increase electricity resistance.",Boucles de topaze,Le pouvoir de l'électricité qui habiterait les topazes de ces bijoux gerudos protège leur porteur de ses effets néfastes.
armors,Armor,Armor_028_Head,Opal Earrings,"Earrings sold at Gerudo jewelry shops. They contain opal, a gem that harnesses the power of water to increase your swimming speed.",Boucles d'opale,Le pouvoir de l'eau qui habiterait les opales de ces bijoux gerudos permet de nager plus vite.
armors,Armor,Armor_029_Head,Amber Earrings,"One of the items sold by the Gerudo jeweler. These earrings are made with amber, a gem that harnesses the power of the land to increase defense when equipped.",Boucles d'ambre,"Ce grand classique des bijouteries gerudos est fait d'ambre brut, une gemme précieuse qui renfermerait le pouvoir de la terre. Cet accessoire améliore la défense."
armors,Armor,Armor_045_Head,Moblin Mask,"Kilton's handmade Moblin headgear. It's designed to replicate the distinct, long, Moblin nose and hanging tongue. Equip it to blend in with Moblins.",Masque de Moblin,"Ce masque confectionné par Kilton arbore le long nez et la langue pendante des Moblins. Si vous le portez, ces derniers vous prendront très certainement pour un des leurs."
armors,Armor,Armor_046_Head,Rubber Helm,"A helmet made from ancient techniques and electricity-resistant material. It's made from something called ""rubber,"" a material that can no longer be found.",Casque isolant,"Cette coiffe, fruit de techniques antiques, aide à supporter l'électricité. Elle est confectionnée en caoutchouc, un matériau isolant aujourd'hui disparu."
armors,Armor,Armor_046_Lower,Rubber Tights,"These invaluable tights are resistant to electricity. They're made with something called ""rubber,"" an ancient technology that no longer exists in this modern age.",Pantalon isolant,"D'antiques technologies ont permis de créer ce pantalon aux propriétés isolantes à partir de caoutchouc, matériau aujourd'hui perdu."
armors,Armor,Armor_046_Upper,Rubber Armor,"This armor has built-in electricity resistance thanks to its source material—an ancient marvel called ""rubber."" Such technology does not exist in this modern age.",Combinaison isolante,"Cette combinaison aux propriétés isolantes recouvre la peau de caoutchouc, un antique matériau aujourd'hui disparu."
armors,Armor,Armor_048_Head,Barbarian Helm,"A helmet once worn by the warriors of an ancient warlike tribe from the Faron region. Wearing it draws out your inner animal, increasing your strength and battle prowess.",Casque barbare,Ce casque d'un peuple guerrier qui aurait autrefois habité Firone arbore des motifs antiques qui stimulent l'ardeur de son porteur et augmentent sa puissance d'attaque.
armors,Armor,Armor_048_Lower,Barbarian Leg Wraps,These leg wraps were favored by a warlike tribe from the Faron region long ago. They're adorned with traditional markings that bolster your fighting spirit to raise your attack power.,Culotte barbare,Les tatouages qui accompagnent cet habit d'un peuple guerrier qui aurait autrefois vécu en Firone augmentent la puissance d'attaque et la combativité de leur porteur.
armors,Armor,Armor_048_Upper,Barbarian Armor,Armor once favored by an ancient warlike tribe from the Faron region. The war paint bolsters your fighting spirit and raises your attack power.,Gilet barbare,Cette tenue d'un peuple guerrier qui aurait autrefois habité Firone est accompagnée de tatouages qui augmentent la puissance d'attaque et la combativité de leur porteur.
armors,Armor,Armor_049_Lower,Sand Boots,Gerudo artisans modified these boots for life in the desert. The special soles distribute your body weight evenly so you can maintain your normal movement speed on sand.,Bottes des sables,Ces bottes de grande valeur autrefois portées par les Gerudos permettent de ne pas s'enfoncer dans le sable et ainsi de ne pas être ralenti dans le désert.
armors,Armor,Armor_055_Head,Lizalfos Mask,Kilton's handmade Lizalfos headgear. It's designed to replicate even those goggling eyeballs of the Lizalfos. Equip it to blend in with Lizalfos.,Masque de Lézalfos,"Ce masque confectionné par Kilton arbore les gros yeux globuleux typiques des Lézalfos. Si vous le portez, ces derniers vous prendront très certainement pour un des leurs."
armors,Armor,Armor_056_Head,Lynel Mask,"Kilton's handmade Lynel headgear. It's so well crafted, it can deceive a real Lynel. Equip it to blend in with Lynels, but don't linger too long. Those beasts are smart.",Masque de Lynel,"Kilton peut être fier de ce masque d'une telle perfection qu'il réussit à duper même les Lynels, qui ne viendront plus vous agresser quand vous le porterez."
armors,Armor,Armor_1006_Head,Glide Mask,A mask with a wind-resistant design that allows for steadier gliding while the wearer plummets from the sky.,Masque de chute libre,Ce masque pensé pour minimiser la prise au vent favorise le contrôle de la trajectoire pendant la chute libre.
armors,Armor,Armor_1006_Lower,Glide Tights,The cloth sewn to these tights allows their wearer to glide more easily as they plummet from the sky.,Chausses de chute libre,"La toile qui se tend entre les jambes augmente la résistance à l'air, ce qui permet un meilleur contrôle de la trajectoire pendant la chute libre."
armors,Armor,Armor_1006_Upper,Glide Shirt,"The cloth sewn to this shirt helps it ""catch"" air, increasing the wearer's ability to glide while they plummet from the sky.",Combinaison de chute libre,La toile qui se tend dans le dos retient l'air pour gagner en portance et ainsi améliorer le contrôle de la trajectoire pendant la chute libre.
armors,Armor,Armor_1036_Head,Ancient Hero's Aspect,This item is said to contain the spirit of a hero who once saved Hyrule. That hero's aura will envelop the wearer.,Esprit du héros ancestral,"En accueillant dans votre corps l'esprit de ce héros ayant autrefois sauvé Hyrule, l'aura de ce dernier vous enveloppe et vous prenez son apparence."
armors,Armor,Armor_1043_Lower,Archaic Legwear,"Simple, classic legwear. They're well-worn and showing their age, but they've still got a few good years left in them. It can be a bit cumbersome to have to tie the straps.",Vieilles spartiates,"Ces sandales simples et intemporelles ne sont plus de toute première jeunesse, mais ont encore de beaux jours devant elles. Ajuster les lanières est un peu laborieux."
armors,Armor,Armor_1043_Upper,Archaic Tunic,"Old-fashioned upper-body wear. It's got some holes, but the soft cloth feels good to the touch. It's hard to keep it wrinkle-free.",Vieille toge,"Cette toge passée de mode est peut-être effilochée par endroits, mais le tissu reste agréable au toucher bien que difficile à défroisser."
armors,Armor,Armor_1044_Lower,Archaic Warm Greaves,"Warm greaves believed to be from a very long time ago. Despite the old look, the heat-retaining material makes it pleasantly resistant to cold temperatures.",Vieilles chausses doublées,"Ces chausses semblent avoir été fabriquées dans des temps immémoriaux. Malgré leur aspect suranné, leur capacité à retenir la chaleur permet de se protéger du froid."
armors,Armor,Armor_1046_Head,Froggy Hood,"A good hood for a rainy day. The perfectly weighted headband keeps the wearer focused and stabilized, making it easier to climb wet, slippery surfaces.",Capuche de batracien,"En immobilisant la tête, cette coiffe idéale dans les régions pluvieuses stabilise le centre de gravité, ce qui facilite l'escalade sur les parois glissantes."
armors,Armor,Armor_1046_Lower,Froggy Leggings,"Good leggings for a rainy day. The feet are covered in small dimples and treated with an anti-slip substance, giving them great traction on wet, slippery surfaces.",Jambières de batracien,"Avec leurs nombreuses stries sous la semelle et la substance antidérapante dont elles sont enduites, ces jambières sont idéales pour éviter de glisser dans les régions pluvieuses."
armors,Armor,Armor_1046_Upper,Froggy Sleeve,"A good sleeve for a rainy day. Small dimples on the fingers act as suction cups, giving good grip on wet, slippery surfaces.",Épaulière de batracien,Cette épaulière prolongée d'un long gant est idéale dans les régions pluvieuses. Les petites aspérités du bout des doigts agissent comme des ventouses sur les parois humides.
armors,Armor,Armor_1051_Head,Miner's Mask,A mask used for working in darkness. The attached lamps are filled with bioluminescent material to light one's surroundings.,Masque de mineur,Ce masque aurait été utilisé pour travailler dans le noir. Les lampes qui y sont attachées renferment une substance luminescente qui éclaire légèrement les alentours.
armors,Armor,Armor_1051_Lower,Miner's Trousers,The bioluminescent lamps on these trousers shed light on where you step. They come in handy when walking in darkness.,Pantalon de mineur,Des lampes renfermant une substance luminescente sont intégrées à ce pantalon afin d'éclairer le sol. Bien pratique pour les explorateurs des ténèbres.
armors,Armor,Armor_1051_Upper,Miner's Top,A shirt featuring lamps of various sizes filled with bioluminescent material. Made to help with excavating dark environments.,Plastron de mineur,Des lampes de tailles diverses renfermant une substance luminescente recouvrent ce plastron. Il aurait été conçu pour des travaux dans le noir comme l'extraction minière.
armors,Armor,Armor_1061_Head,Ember Headdress,"Used in ancient rituals, this item is made of heat-absorbing cloth that produces flame in high-temperature environments.",Coiffe du brasier,"Autrefois portée au cours d'anciens rituels, cette coiffe retient la chaleur et permet de générer des attaques enflammées quand elle est exposée à un environnement très chaud."
armors,Armor,Armor_1061_Lower,Ember Trousers,"Used in ancient rituals, this item is made of heat-absorbing cloth that produces flame in high-temperature environments.",Pantalon du brasier,"Autrefois porté au cours d'anciens rituels, ce pantalon retient la chaleur et permet de générer des attaques enflammées quand il est exposé à un environnement très chaud."
armors,Armor,Armor_1061_Upper,Ember Shirt,"Used in ancient rituals, this item is made of heat-absorbing cloth that produces flame in high-temperature environments.",Manteau du brasier,"Autrefois porté au cours d'anciens rituels, ce manteau retient la chaleur et permet de générer des attaques enflammées quand il est exposé à un environnement très chaud."
armors,Armor,Armor_1066_Head,Charged Headdress,"Used in ancient rituals and made from conductive material, this item produces electricity during thunderstorms.",Coiffe de la foudre,"Autrefois portée au cours d'anciens rituels, cette coiffe retient l'électricité de l'air et permet de générer une attaque foudroyante pendant les orages."
armors,Armor,Armor_1066_Lower,Charged Trousers,"Used in ancient rituals and made from conductive material, this item produces electricity during thunderstorms.",Culotte de la foudre,"Autrefois portée au cours d'anciens rituels, cette culotte retient l'électricité de l'air et permet de générer des attaques foudroyantes pendant les orages."
armors,Armor,Armor_1066_Upper,Charged Shirt,"Used in ancient rituals and made from conductive material, this item produces electricity during thunderstorms.",Parure de la foudre,"Autrefois portée au cours d'anciens rituels, cette parure retient l'électricité de l'air et permet de générer des attaques foudroyantes pendant les orages."
armors,Armor,Armor_1071_Head,Frostbite Headdress,"Made for ancient rituals, this item's cold-absorbing cloth produces frost in low-temperature environments.",Coiffe du blizzard,"Autrefois portée au cours d'anciens rituels, cette coiffe coupée dans un matériau réfrigérant génère une attaque glaciale quand elle est exposée à un milieu très froid."
armors,Armor,Armor_1071_Lower,Frostbite Trousers,"Made for ancient rituals, this item's cold-absorbing cloth produces frost in low-temperature environments.",Pantalon du blizzard,"Autrefois porté au cours d'anciens rituels, ce pantalon taillé dans un matériau réfrigérant génère une attaque glaciale quand il est exposé à un milieu très froid."
armors,Armor,Armor_1071_Upper,Frostbite Shirt,"Made for ancient rituals, this item's cold-absorbing cloth produces frost in low-temperature environments.",Robe du blizzard,"Autrefois portée au cours d'anciens rituels, cette robe taillée dans un matériau réfrigérant génère une attaque glaciale quand elle est exposée à un milieu très froid."
armors,Armor,Armor_1076_Head,Cece Hat,An avant-garde masterpiece designed by Cece. Guaranteed to make the fashionistas' heads turn.,Chapeau de Goutiée,"Création originale de la célèbre styliste, ce chef-d'œuvre signé Goutiée fera de vous la coqueluche des fashionistas quand vous le porterez."
armors,Armor,Armor_1086_Head,Mystic Headpiece,"Headgear acquired in exchange for Bubbul gems. Made with prayers to spirits, it protects the wearer, allowing them to lose rupees instead of health when hit.",Coiffe des esprits,"Coiffe obtenue contre des cristaux d'Elusis. Fruit de maintes prières aux esprits, elle protège la vie de son porteur qui perd des rubis plutôt que des cœurs en cas d'attaque."
armors,Armor,Armor_1086_Lower,Mystic Trousers,"Trousers acquired in exchange for Bubbul gems. Each thread is blessed by spirits, protecting the wearer by allowing them to lose rupees instead of health when hit.",Chausses des esprits,"Habit obtenu contre des cristaux d'Elusis. Fruit de maintes prières aux esprits, il protège la vie de son porteur qui perd des rubis plutôt que des cœurs en cas d'attaque."
armors,Armor,Armor_1086_Upper,Mystic Robe,"A robe acquired in exchange for Bubbul gems. Woven with prayers to spirits, it protects the wearer, allowing them to lose rupees instead of health when hit.",Tunique des esprits,"Habit obtenu contre des cristaux d'Elusis. Fruit de maintes prières aux esprits, elle protège la vie de son porteur qui perd des rubis plutôt que des cœurs en cas d'attaque."
armors,Armor,Armor_1091_Head,Zonaite Helm,A helmet forged of zonaite. The magic infused into it during its production grants its wearer improved energy efficiency for Zonai devices.,Casque de sonium,"Forgé dans le sonium, ce casque magique prolonge la durée d'utilisation des artéfacts soneaus à jauge d'énergie."
armors,Armor,Armor_1091_Lower,Zonaite Shin Guards,"Shin guards forged of zonaite. Wearing them awakens the magic of their creators, improving efficiency for Zonai devices.",Genouillères de sonium,"Forgées dans le sonium, ces genouillères prolongent la durée d'utilisation des artéfacts soneaus à jauge d'énergie."
armors,Armor,Armor_1091_Upper,Zonaite Waistguard,"A waistguard made from zonaite. While wearing it, you'll reap the benefit of its imbued magic and improve the efficiency of Zonai devices.",Flancart de sonium,"Forgé dans le sonium, ce flancart magique prolonge la durée d'utilisation des artéfacts soneaus à jauge d'énergie."
armors,Armor,Armor_1096_Head,Mask of Awakening,Legend says this mask resembles a hero who explored a mysterious island that one could visit but not leave. The item makes one want to wear it but also not wear it.,Masque du rêve,La légende veut que ce masque ait été façonné à l'image du héros captif d'une île mystérieuse que nul ne pouvait quitter. Voilà qui donne envie de la porter... ou pas.
armors,Armor,Armor_1096_Lower,Trousers of Awakening,Legend says these trousers were worn by a hero who explored a mysterious island that one could visit but not leave. The item makes one want to wear it but also not wear it.,Chausses du rêve,La légende veut que ces chausses aient appartenu au héros captif d'une île mystérieuse que nul ne pouvait quitter. Voilà qui donne envie de les porter... ou pas.
armors,Armor,Armor_1096_Upper,Tunic of Awakening,Legend says this armor was worn by a hero who explored a mysterious island that one could visit but not leave. The item makes one want to wear it but also not wear it.,Tunique du rêve,Cette tunique aurait appartenu au héros captif d'une île mystérieuse que nul ne pouvait quitter. Voilà qui donne envie de la porter... ou pas.
armors,Armor,Armor_1106_Upper,Champion's Leathers,"This garment, worn by those in good standing with Hyrule royalty, has been reworked with the latest improvements, such as a new shoulder guard.",Nouvelle tunique de Prodige,"Ce vêtement, porté par ceux ayant prouvé leur valeur à la famille royale, a été amélioré par l'adjonction entre autres d'une épaulière, le rendant encore plus adapté à l'aventure."
armors,Armor,Armor_1125_Head,Horriblin Mask,Kilton's handmade Horriblin headgear. The big nose and smiley mouth look just like those of the real monster... Equip it to blend in with Horriblins.,Masque de Trogloblin,"Confectionné par Kilton, ce masque reproduit à merveille l'énorme nez et l'immense sourire narquois des Trogloblins. Portez-le pour qu'ils vous considèrent comme un des leurs !"
armors,Armor,Armor_1141_Head,Hood of the Depths,"A hood acquired by offering Poes to a strange statue found in the Depths. Woven of monstrous materials, it offers some resistance to gloom.",Capuche des ténèbres,"Offerte par l'étrange statue à qui vous avez remis des Esprits, cette capuche en matériaux de monstres vous rend plus résistant aux miasmes."
armors,Armor,Armor_1141_Lower,Gaiters of the Depths,"Gaiters acquired by offering Poes to a strange statue found in the Depths. Woven of monstrous materials, they offer some resistance to gloom.",Guêtres des ténèbres,"Offertes par l'étrange statue à qui vous avez remis des Esprits, ces guêtres en matériaux de monstres protègent légèrement des miasmes."
armors,Armor,Armor_1141_Upper,Tunic of the Depths,"A tunic acquired by offering Poes to a strange statue found in the Depths. Woven of monstrous materials, it offers some resistance to gloom.",Tunique des ténèbres,"Offerte par l'étrange statue à qui vous avez remis des Esprits, cette tunique en matériaux de monstres vous protège légèrement des miasmes."
armors,Armor,Armor_1151_Head,Well-Worn Hair Band,"An old, worn, simple hair band. Its color has long faded, but it still has some life left in it. Wearing it in your hair makes you sentimental about times past.",Vieil anneau capillaire,"La patine du temps a fait perdre à cet anneau ses couleurs d'origine, mais il s'en dégage à présent une certaine mélancolie. Attachez vos cheveux avec pour une touche de nostalgie."
